,"04/23/20","04/24/20","04/25/20","04/26/20","04/27/20","04/28/20","04/29/20","04/30/20","05/01/20","05/02/20","05/04/20","05/05/20","05/06/20","05/07/20","05/08/20","05/09/20","05/10/20","05/11/20","05/12/20","05/13/20"
"85704",34,38,38,41,43,43,45,45,47,46,43,43,44,44,47,50,52,57,55,55
"85705",43,45,46,48,48,47,50,55,55,57,58,60,61,63,66,67,67,68,69,71
"85706",83,84,84,85,86,86,86,88,90,95,101,102,104,106,107,109,113,115,116,122
"85707",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85710",44,44,44,47,61,59,58,57,62,59,57,58,63,65,65,63,64,65,66,69
"85711",44,46,41,41,41,42,44,43,45,49,53,55,57,61,64,72,74,74,74,76
"85712",44,44,45,47,52,52,55,57,59,62,70,71,70,76,83,84,87,86,85,86
"85713",43,43,43,46,46,46,47,47,49,51,57,62,65,66,70,71,73,73,78,84
"85714",105,106,114,129,118,121,125,124,124,124,125,123,128,130,131,131,130,131,132,133
