,"04/23/20","04/24/20","04/25/20","04/26/20","04/27/20","04/28/20","04/29/20","04/30/20","05/01/20"
"17229",0,0,0,0,0,0,0,0,0
"17232",0,0,0,0,0,0,0,0,0
"17233",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17236",8,10,11,11,11,11,11,11,11
"17237",NA,NA,5,5,5,5,5,5,6
"17238",0,0,0,0,0,0,0,0,0
"17239",0,0,0,0,0,0,0,0,0
"17240",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17241",5,8,9,9,9,10,10,10,10
"17243",0,0,0,0,0,0,0,0,0
"17244",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17246",0,0,0,0,0,0,0,0,0
"17252",0,0,NA,NA,NA,NA,NA,NA,NA
"17255",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17257",48,50,55,66,73,82,92,98,100
"17260",0,0,0,0,0,0,NA,NA,NA
"17262",0,0,0,NA,NA,NA,NA,NA,NA
"17264",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17265",0,0,0,0,0,0,0,0,0
"17266",0,0,0,0,0,0,0,0,0
"17267",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17268",19,21,22,23,25,26,29,29,31
"17271",0,0,0,0,0,0,0,0,0
"17301",8,8,8,8,9,9,9,9,9
"17302",NA,NA,NA,NA,NA,NA,NA,5,5
"17304",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17307",0,0,0,0,0,0,0,NA,NA
"17309",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17313",13,13,13,14,14,14,14,14,14
"17314",7,7,8,8,8,8,8,9,9
"17315",20,21,22,23,24,24,24,24,24
"17316",8,8,9,10,10,10,10,10,11
"17319",13,13,14,16,16,17,17,17,17
"17320",6,7,7,7,7,8,10,10,10
"17321",0,0,0,0,0,NA,NA,NA,NA
"17322",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17324",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17325",16,19,20,20,20,20,22,23,24
"17327",NA,NA,5,5,6,6,6,6,6
"17329",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17331",36,36,37,40,41,42,43,45,46
"17339",9,9,9,9,9,9,9,9,9
"17340",11,12,13,13,13,13,13,14,14
"17344",NA,NA,NA,NA,NA,NA,5,5,5
"17345",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17347",NA,5,5,5,5,5,6,6,6
"17349",10,10,10,10,10,10,10,11,11
"17350",28,31,31,31,32,32,32,33,34
"17352",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17353",0,0,0,NA,NA,NA,NA,NA,NA
"17356",15,15,15,15,15,15,15,15,16
"17360",5,5,5,5,5,5,5,6,6
"17361",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17362",6,8,10,11,12,12,12,12,14
"17363",NA,NA,NA,NA,NA,NA,NA,5,5
"17364",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17365",0,0,0,0,0,0,0,0,0
"17366",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17368",5,5,5,5,5,5,5,5,5
"17370",0,0,0,0,0,0,0,0,0
"17372",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17401",91,91,91,93,94,97,98,99,100
"17402",31,33,34,34,36,37,37,40,40
"17403",128,135,139,143,145,146,148,149,149
"17404",60,63,65,65,69,69,69,72,74
"17406",12,12,12,12,12,12,12,12,14
"17407",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17408",18,18,18,18,18,19,21,21,21
"17501",8,10,10,10,10,10,10,10,10
"17502",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17505",0,0,0,0,0,0,0,0,0
"17509",25,25,25,26,26,26,26,26,26
"17512",32,36,35,40,40,44,46,46,47
"17516",13,13,13,14,14,14,14,14,14
"17517",24,25,25,26,26,28,28,29,32
"17518",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17519",8,9,10,11,11,11,11,12,12
"17520",6,6,7,7,7,8,8,9,9
"17522",57,59,59,62,63,66,66,68,68
"17527",10,10,11,11,11,11,11,12,12
"17529",NA,5,5,7,7,7,7,7,7
"17532",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17535",6,6,6,6,7,7,7,7,7
"17536",0,0,0,0,0,0,0,0,0
"17538",10,10,10,11,11,12,12,12,12
"17540",14,14,14,15,15,16,16,17,17
"17543",73,79,82,85,89,93,94,101,103
"17545",47,49,49,50,50,50,50,50,50
"17547",NA,NA,5,5,8,8,10,10,11
"17550",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17551",21,22,22,23,23,23,23,24,24
"17552",24,25,25,25,27,27,27,28,28
"17554",17,18,19,19,19,19,19,20,20
"17555",NA,NA,NA,NA,NA,5,6,7,7
"17557",32,34,34,37,39,40,40,41,41
"17560",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17562",8,8,8,10,10,10,10,10,10
"17563",8,8,8,8,8,8,8,8,9
"17565",5,5,6,6,6,6,6,6,6
"17566",12,12,13,14,14,14,15,15,15
"17569",11,12,12,13,13,13,13,13,13
"17572",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17576",0,0,0,0,0,0,0,0,0
"17578",5,6,6,6,6,6,6,6,6
"17579",8,8,8,8,9,9,9,9,9
"17581",0,0,0,0,0,0,0,0,0
